SITE,DATE,Ammonia,Phosphate,DOC..mg.L.,TDN..mg.L.,Cl,SO4,Br,NO3.N,Temp.C,SPC.uS.cm,Pressure.mmHg,DO..,DO.mg.L,pH,E.Coli (CFU per 100mL),SS1,Type,Latitude_streamstat,Longitude_streamstat,Branch,BASINPERIM,BSLDEM30FT,CSL10_85fm,DRNAREA,ELEV,ELEVMAX,I24H50Y,LC01BARE,LC01CRPHAY,LC01DEV,LC01FOREST,LC01HERB,LC01IMP,LC01SHRUB,LC01WATER,LC01WETLND,LC06BARE,LC06DEV,LC06FOREST,LC06GRASS,LC06IMP,LC06PLANT,LC06SHRUB,LC06WATER,LC06WETLND,LC11BARE,LC11CRPHAY,LC11DEV,LC11FOREST,LC11GRASS,LC11IMP,LC11SHRUB,LC11WATER,LC11WETLND,LC92FOREST,LFPLENGTH,LU92BARE,LU92DEV,LU92PLANT,LU92WATER,LU92WETLN,MINBELEV,OUTLETELEV,PCTREG1,PCTREG2,PCTREG3,PCTREG4,PCTREG5,PRECIP,PROTECTED,SSURGOA,SSURGOB,SSURGOC,SSURGOD,Main.Distance.km,Na,K,Mg,Ca,pH.mV,Site.Code,Time,Team,Site.Notes,YSI.Notes,General.Notes,X,Site.Num,DO_Reg,TDN_Reg,NO3N_Reg,PO4_Reg
6.2,09/25/2021,0.001,0.0585,12.66,0.9232,24.29734742,15.74646596,,0.25885896,16.5,223.4,754.6,29.7,2.9,6.71,,6.2,Trib,36.02351,-78.92582,South,2.86,5.42,88.38,0.23,396,437,6.73,0,0,99.8,0.2,0,12.63,0,0,0,0,99.8,0.2,0,12.63,0,0,0,0,0,0,99.8,0.2,0,12.6,0,0,0,26.8,0.894,0,72.7,0.5,0,0,348,351,100,0,0,0,0,47.9,0,0,0,6.4,93.6,,13.91447368,4.70839501,3.8963629,21.5022461,5.3,Fall.SS.2021.6b,0.477083333,Steve,Totally dried up in some parts. Very incised adn down to bedrock. No flow. Old asphalt in cree. Water is very amber in color with little sediment,,,24,6b,N,Y,N,Y
7.1,09/25/2021,0.0426,0.0421,5.824,0.5957,7.66904264,9.84626981,,0.2752469,18,143.6,754.7,82.2,7.79,7.16,,7,Main,36.0304788,-78.9155664,South,17.7,5.31,34.67,4.15,425,557,6.73,0.1,1,83.3,14.4,0.4,20.76,0.2,0.5,0.1,0.1,83.4,14,0.8,22.58,1,0.2,0.5,0.1,0,0.7,86,11.8,0.5,24.2,0.3,0.5,0.1,36.8,5.169,0.1,51.9,10,1,0.2,337,341,100,0,0,0,0,47.9,0,0,27.2,23.2,42.4,4.4,8.77428577,2.56103518,3.53501542,14.59623782,-19.9,Fall.SS.2021.7,0.504166667,Steve,Near Costco. Some incision. Cloudy and wide. Water is flowing. Rocky and muddy. More plastic bags/trash,,,5,7,N,N,N,Y
8.2,09/25/2021,0.0175,0.0462,5.292,0.7818,11.8420916,14.96805827,,0.49163948,16.7,204.6,754.7,73.4,7.04,7.17,,8,Trib,36.016986,-78.914698,South,5.24,4.7,52.2,0.76,396,432,6.73,0,0,100,0,0,33.42,0,0,0,0,100,0,0,34.16,0,0,0,0,0,0,100,0,0,34.6,0,0,0,7.4,1.619,0,91.7,0.9,0,0,345,357,100,0,0,0,0,47.8,0,0,0,4.8,82.1,,11.40798112,3.45097808,3.67107836,22.26077018,-70.5,Fall.SS.2021.8,0.365972222,2,Heavily veg. bank. Shady. Water running at sampling site but releatively stagnant up and downstream. Downstream of road,,,6,8,N,Y,N,Y
9.2,09/25/2021,0.0205,0.0211,5.404,0.7225,10.53743032,12.95477168,0.20008928,0.46939016,17.9,203.8,756.1,75.8,7.05,7.33,,9,Trib,36.018084,-78.897706,South,8.39,5.19,40.23,1.46,378,432,6.73,0,0,100,0,0,35.08,0,0,0,0,100,0,0,36.56,0,0,0,0,0,0,100,0,0,37.2,0,0,0,10,2.996,0,88.6,0.6,0,0.7,301,307,100,0,0,0,0,47.8,0,0,0,7.3,76.5,,10.50617879,2.98386451,4.66229602,21.67874147,-78.6,Fall.SS.2021.9,0.411805556,2,Exposed drainage pipe surrounded by litter. Foamy water stream is more exposed to sunlight. Small fish in stream (~ 3 in). Flies over the water,,,7,9,N,Y,N,N
10.1,09/25/2021,0.0157,0.0377,5.255,0.5599,7.08731308,8.85284327,,0.26316528,18.1,142.4,755.4,87.2,8.24,7.38,,10,Main,36.0272302,-78.9010821,South,21.4,5.41,30.73,5.09,415,557,6.73,0.1,1,83.2,14.7,0.3,20.77,0.1,0.4,0.1,0.1,83.2,14.4,0.6,22.33,1,0.1,0.4,0.1,0,0.8,85.4,12.6,0.4,23.8,0.3,0.4,0.1,35.7,6.545,0.1,54.9,8.3,0.8,0.2,300,309,100,0,0,0,0,47.9,0,0,26.2,24.3,40.1,5.7,8.08050411,2.55166736,3.98798662,14.52100637,-32.4,Fall.SS.2021.10,0.530555556,Steve,"On westcott's bronto trail. Many sewage lines. Wide and muddy, really sandy with sand bars. No rockis. some flow, mostly pools and runs; small fish in water; found 5 golfballs in water",,,8,10,N,N,N,Y
11.1,09/25/2021,0.0171,0.0365,5.318,0.5456,7.01583678,9.13493222,,0.26196908,18.3,142,755.1,85.8,8.07,7.29,,11,Main,36.02543,-78.90018,South,22.6,5.44,30.72,5.31,412,557,6.73,0.1,0.9,82.9,15,0.3,20.76,0.1,0.4,0.2,0.1,82.9,14.6,0.6,22.3,0.9,0.1,0.4,0.2,0,0.7,85,12.9,0.5,23.8,0.3,0.4,0.2,35.8,6.692,0.1,55,8,0.8,0.3,300,303,100,0,0,0,0,47.9,0,0,26.5,24,40.3,5.8,7.94533336,2.56869976,3.95693064,14.5284101,-27.4,Fall.SS.2021.11,0.539583333,Steve,"Still water, wide. Incision. Slow flowing, sewer line. Sandy bottom no rocks. ",,,25,11,N,N,N,N
12.1,09/25/2021,0.0124,0.038,6.195,0.6365,6.66166442,9.02091305,,0.27297412,17.7,130.5,756.1,85.2,8.13,7.35,,12,Main,36.01939,-78.89478,South,23.3,5.52,30.11,5.75,407,557,6.73,0.1,0.9,83.8,14.2,0.3,20.29,0.1,0.4,0.2,0.1,83.8,13.9,0.6,21.73,0.9,0.1,0.4,0.2,0,0.7,85.7,12.3,0.4,23.1,0.2,0.4,0.2,34.3,7.24,0.1,57.2,7.3,0.7,0.3,297,304,100,0,0,0,0,47.9,0,0,27.4,23.6,40.5,6.3,7.61409388,2.76031426,3.50704788,13.13818067,-79.2,Fall.SS.2021.12,0.424305556,2,Smelled sewage at site. Sampled downstream of gage. Wide channel made of concrete. Little fish. Flow is low but quick. Sunny,,,28,12,N,N,N,Y
13.2,09/25/2021,0.0148,0.0592,5.337,0.9457,17.01493354,24.48569999,,0.73147758,16.2,275.4,756,59.3,5.87,7.19,,13,Trib,36.016528,-78.899396,South,6.68,6.06,46.73,1.31,372,432,6.72,0,0,99.8,0.2,0,34.93,0,0,0,0,99.8,0.2,0,35.39,0,0,0,0,0,0,99.8,0.2,0,35.9,0,0,0,10.8,1.81,0,88.7,0,0,0.5,302,313,100,0,0,0,0,47.6,0,0,0.2,4.9,62.1,,17.20552573,3.67112185,6.56374558,27.1195277,-71.7,Fall.SS.2021.13,0.39375,2,Couldn't access stream at first site. Crossed road to sample a different tributary. Very stagnant + turbid,,,9,13,N,Y,N,Y
14.2,09/25/2021,0.001,0.0725,3.482,0.7543,20.75416512,28.95335771,,0.61867592,17.3,360.6,755.1,53.3,5.08,7.07,,14,Stormwater,36.008963,-78.903236,South,5.4,5.36,65.03,0.83,380,432,6.73,0,0,100,0,0,46.52,0,0,0,0,100,0,0,47.26,0,0,0,0,0,0,100,0,0,48.1,0,0,0,6.8,1.2,0,93.2,0,0,0,314,316,100,0,0,0,0,47.6,0,0,0.4,2.3,45.4,,22.05886708,3.16994348,8.01754292,29.199737,-66,Fall.SS.2021.14,0.491666667,2,Rocky. Shady. Slightly turbid. Flow is moving.,,,10,14,Y,Y,N,Y
15.1,09/25/2021,0.0836,0.0103,7.311,0.6018,23.7873859,21.18427295,0.31216061,0.2860127,16.8,356.9,755.9,4.7,0.45,6.41,,15,Trib,36.015189,-78.887945,Main,27.3,5.68,28.57,9.06,393,557,6.73,0,0.6,89.4,9.1,0.2,24.65,0.1,0.2,0.3,0,89.5,8.9,0.4,25.96,0.6,0.1,0.2,0.3,0,0.4,90.7,7.9,0.3,27,0.2,0.2,0.3,26.2,7.821,0.1,67.7,4.8,0.5,0.7,290,290,100,0,0,0,0,47.8,0,0,17.4,17.8,51.5,,18.59251991,2.70495896,7.94444984,34.5638588,-34.1,Fall.SS.2021.15,0.472222222,2,bad smell. Mosquitos. Large debris including a shopping cart and buckets. Exgtremely stagnant. Lots of floating muck. Very overgrown. Creekbed totally dry in some places. Lots of blocky algae.,,,11,15,N,N,N,N
16.1,09/25/2021,0.0527,0.0244,7.059,0.791,7.279278,11.13283214,,0.37405302,17.4,172.9,756.4,59.5,5.66,6.92,,16,Main,36.02189,-78.87057,Main,29.3,5.74,26.12,10.3,386,557,6.72,0.7,0.7,87.1,9.6,0.4,23.72,0.1,0.2,1.3,0.7,87.1,9.4,0.5,24.95,0.7,0.1,0.2,1.3,0.6,0.6,88.2,8.5,0.4,25.9,0.2,0.2,1.3,25.4,8.997,0.1,67.6,4.2,0.4,2.3,279,284,100,0,0,0,0,47.8,0,0,15.6,16.8,54.5,8.5,9.57478118,3.15887242,4.13382962,18.0893654,-58.4,Fall.SS.2021.16,0.452083333,2,,,Slight bad odor. Little fish (~1-2in). Frog sighting.,26,16,N,Y,N,N
17.2,09/25/2021,0.14,0.0168,6.998,0.5589,2.49940984,12.70621778,,0.09127134,16,92.1,756.1,31.4,3.08,6.79,,17,Trib,36.024281,-78.87544,Main,4.08,6.69,66.46,0.53,350,400,6.71,0,0,86.8,12,1.2,13.4,0,0,0,0,86.8,12,1.2,13.43,0,0,0,0,0,0,86.8,12,1.2,13.5,0,0,0,20.2,1.29,0,79.3,0,0,0.5,296,296,100,0,0,0,0,47.6,0,0,3.6,6.8,87.9,,4.10591492,2.62107439,2.4345013,10.21322966,-52.5,Fall.SS.2021.17,0.440972222,2,,,Lots of mosquitoes ,12,17,N,N,N,N
18.2,09/25/2021,0.0967,0.326,2.004,0.5957,11.48733576,34.35131717,,0.31627656,22.9,191.3,755.4,83.3,7.22,7.51,,18,Trib,35.994265,-78.884225,Goose,5.43,5.68,58.27,0.71,379,423,6.7,0,0,100,0,0,37.96,0,0,0,0,100,0,0,38.96,0,0,0,0,0,0,100,0,0,40.1,0,0,0,1.7,1.178,0,98.3,0,0,0,329,334,100,0,0,0,0,47.3,0,0,0,4.6,72,,22.90347084,2.39113699,2.95198658,12.64714619,-41.9,Fall.SS.2021.18,0.393055556,3,,,"Near long meadow park. Surrounded by hard infrastructure. Man-made banks, human placed rocks,. Runs, not many pools. Plastic trash. In front of a dual Police dept. and (?) company. ",13,18,Y,N,N,Y
19.2,09/25/2021,0.0745,0.228,2.62,0.5067,11.5182602,34.29923921,,0.28673042,18.3,201.9,755.7,75,7.06,7.47,,19,Trib,36.004314,-78.880523,Goose,8.45,6.1,35.36,1.47,372,423,6.71,0,0,99.9,0,0,36.71,0,0,0,0,99.9,0,0,37.5,0,0,0,0,0,0,100,0,0,38.4,0,0,0,3.2,2.013,0,96.7,0,0,0.1,317,317,100,0,0,0,0,47.4,0,0,4.1,2.7,72.8,,21.87617314,2.81865023,2.87734928,16.23293981,-35.4,Fall.SS.2021.19,0.375694444,3,,,"Low flow and reduced DO, downstream of Geer st. Lots of plastic litter. ",14,19,Y,N,N,Y
20.2,09/25/2021,0.879,0.0717,7.233,1.468,21.91995816,16.43847158,,0.20670464,16.5,248.8,756,58,5.61,7.17,,20,Trib,36.002352,-78.872668,Goose,7.77,6.22,38.91,1.56,370,423,6.69,0,0,98.6,1.4,0,27.73,0,0,0,0,98.6,1.4,0,27.88,0,0,0,0,0,0,98.6,1.4,0,28.2,0,0,0,9,2.296,0,88.8,2.2,0,0,308,308,100,0,0,0,0,47.2,0,0,6.9,5.8,78.2,,23.64477569,4.19401653,4.21773224,21.8604911,-22.4,Fall.SS.2021.20,0.410416667,3,(There should have been pin #20 in sherwood park),,High sediment deposits. Highly eroded streambanks. Small amount of meandering. Lot of plastic trash. Lawn mower and grocery cart trash. Lot of plastic trash. Lot of vines. Manicured surroundings. ,15,20,N,Y,N,Y
21.2,09/25/2021,3.24,0.294,18.67,3.955,16.75003362,10.8771767,,0.08253908,16.5,386.5,756.2,33.5,3.25,7.4,,21,Trib,36.01144,-78.867661,Goose,5.38,7.3,47.76,0.75,360,418,6.69,0,0,76.6,22.5,0.4,23,0,0,0.5,0,76.6,22.5,0.4,23.2,0,0,0,0.5,0,0,76.6,22.5,0.4,23.8,0,0,0.5,31,1.589,0,66.3,0.1,0,2.6,298,299,100,0,0,0,0,47.2,0,0,4.6,10.1,80,,49.00167011,8.3103218,6.1037396,27.81643364,-35.1,Fall.SS.2021.21,0.444444444,3,,,"Small wetland nearby, sily/sandy and low flow, next to road/highway. Lots of particulate matter, brown-tea colored (dissolved carbon). ",16,21,N,Y,N,Y
22.2,09/25/2021,0.153,0.0408,7.148,0.765,8.58452276,11.44845614,,0.28505574,16.6,172,756.2,43,4.1,7.1,,22,Trib,36.008527,-78.869536,Goose,8.55,6.31,32.24,1.76,366,423,6.69,0,0,98.5,1.3,0,27.72,0,0,0.2,0,98.5,1.3,0,28.07,0,0,0,0.2,0,0,98.5,1.3,0,28.5,0,0,0.2,9.9,2.799,0,87.9,2,0,0.2,303,305,100,0,0,0,0,47.2,0,0,7.3,6.6,75.7,,11.78304438,3.53741751,3.71980708,20.36995307,-18.6,Fall.SS.2021.22,0.427083333,3,,,Surrounded my Manufacturing. Extremely steep banks. Med tree cover. power line close to stream. High perticulate water. Near hard infrastructure. ,17,22,N,Y,N,Y
23.2,09/25/2021,0.0378,0.124,3.554,0.5033,11.64575058,36.18075278,,0.29869242,16.7,232.3,756.2,89.8,8.66,7.55,,23,Trib,36.012053,-78.873682,Goose,9.67,6.35,30.05,1.79,367,423,6.71,0.4,0,92.8,4.8,0.1,34.35,0,0,1.8,0,93.4,4.6,0.1,35.69,0,0,0,1.8,0,0,93.9,4.6,0.1,36.6,0,0,1.4,9.2,2.751,0,87.8,0.3,0,2.7,301,304,100,0,0,0,0,47.4,0,0,6.9,2.2,70.5,,19.54127629,3.71625771,3.4476812,23.66389643,-43.5,Fall.SS.2021.23,0.458333333,3,,,"Meanders, pretty old forest (hickory), not too much trash but still there ",18,23,Y,N,N,Y
25.2,09/25/2021,0.0181,0.0273,10.2,0.4886,3.63136104,8.41846574,0.12760904,0.07500302,16.7,106.3,756,20.7,2.3,6.97,,25,Trib,36.01767,-78.85388,Goose,5.45,7.46,77.22,0.79,363,418,6.69,0,0,66.9,29.4,3.4,15.21,0.2,0,0,0,66.9,18,14.8,15.33,0,0.2,0,0,0,0,66.9,14.2,3.8,15.6,15.1,0,0,29,1.465,0,71,0,0,0,301,301,100,0,0,0,0,47.2,0,0,0.5,4.7,92.3,,5.43058827,2.89657346,2.56473052,13.13077694,-11,Fall.SS.2021.25,0.470833333,3,,,"construction happening upstream, high tree cover, many particulates in water, not as steep of a riverbank compared to others, surrounded by mature trees, near the road. ",29,25,N,N,N,N
26.2,09/25/2021,0.0528,0.0539,7.33,0.6581,5.22046882,9.54563795,,0.25933744,18,132.3,756.3,68.4,6.68,7.24,,26,Trib,36.024184,-78.860629,Main,14.5,6.58,20.71,4.97,360,423,6.7,0.2,0,90.6,7.1,0.2,28.63,0,0,1.9,0,90.8,7.1,0.2,29.45,0,0,0,1.9,0,0,91,7.1,0.2,30.1,0,0,1.8,14.8,4.15,0,80.9,1.1,0,3.2,280,282,100,0,0,0,0,47.3,0,0,6.3,7.3,72.3,,9.2350046,3.25467967,2.38954734,14.91316523,-26.7,Fall.SS.2021.26,0.488194444,3,,,Near road. Sandy streambed. Plastic trash. Little tree cover. ,19,26,N,N,N,Y
31.1,09/25/2021,0.02,0.0638,6.679,0.812,38.86275866,48.18708974,0.31613213,0.27177792,22.8,384.6,754.5,94.2,8.11,7.4,,31,Main,36.0596046,-78.8326771,Main,44.5,6.2,14.99,21.8,363,557,6.71,0.4,2.1,72.6,17.8,2.3,19.81,0.9,0.2,3.8,0.3,73.6,16.4,3,20.96,2.2,0.6,0.2,3.8,0.3,1.9,74.6,15.4,2,21.8,1.9,0.2,3.8,29.6,13.708,0.1,61.2,4,0.3,4.9,253,258,100,0,0,0,0,47.6,0,0,11.8,16.7,60.9,12.3,47.00114301,10.98100212,4.36185944,18.21403466,-34,Fall.SS.2021.31,0.173611111,PM,,,Shaded. sandy bottom. upstream of bridge ,20,31,N,Y,N,Y
33.1,09/25/2021,0.0262,0.0658,6.463,0.8402,38.89018222,47.28361604,0.32010365,0.30204178,21.5,383.9,754.3,90.2,7.95,7.46,,33,Main,36.05985,-78.8178,Main,45.8,6.21,13.6,24.3,358,557,6.71,0.3,2.9,66.8,21.4,3,18.13,1,0.2,4.4,0.3,67.7,20,3.7,19.17,3,0.6,0.2,4.4,0.3,2.8,68.7,19.1,2.7,20,1.9,0.2,4.3,33.6,14.806,0.1,56.3,4.2,0.3,5.4,249,255,100,0,0,0,0,47.5,0,0,10.7,19,60.5,13.6,47.14200516,10.75915511,4.39531754,18.28401185,37.5,Fall.SS.2021.33,0.159722222,PM,,,Half shaded. sandy bottom. upstream of bridge ,27,33,N,Y,N,Y
27.1,09/25/2021,0.0562,0.038,6.898,0.7361,7.4207719,9.70344995,,0.3344588,20.5,159.2,754.5,93.6,8.42,7.33,,27.1,Main,36.0284081,-78.864705,Main,36.7,6.15,24.11,17.3,374,557,6.71,0.4,0.6,84.4,11.6,0.7,23.89,0.2,0.2,1.9,0.4,84.9,10.2,1.7,25.07,0.6,0.2,0.2,1.9,0.4,0.5,85.6,9.3,0.8,25.9,1.5,0.2,1.8,23.9,9.592,0.1,69.3,3.2,0.3,3.3,271,273,100,0,0,0,0,47.6,0,0,11.3,13.4,62.5,8.9,9.84996037,3.28491218,3.7608147,15.22077827,-29.9,Fall.SS.2021.A101,0.621527778,PM,"Downstream of entry bridge, couldnt access other sites. ",,"sandy bottom. half shade/half light, downstream of bridge. ",21,A101,N,Y,N,Y
27.1,09/25/2021,0.0562,0.038,6.898,0.7361,7.4207719,9.70344995,,0.3344588,20.5,159.2,754.5,93.6,8.42,7.33,,27.1,Main,36.0284081,-78.864705,Main,36.7,6.15,24.11,17.3,374,557,6.71,0.4,0.6,84.4,11.6,0.7,23.89,0.2,0.2,1.9,0.4,84.9,10.2,1.7,25.07,0.6,0.2,0.2,1.9,0.4,0.5,85.6,9.3,0.8,25.9,1.5,0.2,1.8,23.9,9.592,0.1,69.3,3.2,0.3,3.3,271,273,100,0,0,0,0,47.6,0,0,11.3,13.4,62.5,8.9,9.84996037,3.28491218,3.7608147,15.22077827,-29.9,Fall.SS.2021.A101,0.621527778,PM,"Downstream of entry bridge, couldnt access other sites. ",,"sandy bottom. half shade/half light, downstream of bridge. ",21,A101,N,Y,N,Y
27.3,09/25/2021,0.0156,0.0626,6.371,0.8571,47.60153862,57.2737661,0.38141399,0.27967284,25.1,44.74,754.1,93.8,7.73,6.94,,27.3,Effluent,36.0303904,-78.8620255,Effluent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.55915,13.0872797,4.45279684,18.3711848,7.5,Fall.SS.2021.EFF,0.135416667,PM,,,,,,N,Y,N,Y
27.3,09/25/2021,0.0156,0.0626,6.371,0.8571,47.60153862,57.2737661,0.38141399,0.27967284,25.1,44.74,754.1,93.8,7.73,6.94,,27.3,Effluent,36.0303904,-78.8620255,Effluent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.55915,13.0872797,4.45279684,18.3711848,7.5,Fall.SS.2021.EFF,0.135416667,PM,,,,,,N,Y,N,Y